data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2022-01-03 02:00:45.997728;6663;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IZP2E54;M. BENZ;OF 1721L;2019-10-02;2019;DIESEL
2022-01-03 02:00:45.997728;3133;SUDESTE TRANSPORTES COLETIVOS LTDA;IUB3971;VW                                       ;17230                                             ;2013-02-23;2012;DIESEL
2022-01-03 02:00:45.997728;3303;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC0991;M. BENZ;OF 1721                                           ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;6519;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2666;M. BENZ;O-500M                                            ;2009-08-14;2009;DIESEL
2022-01-03 02:00:45.997728;2308;VIACAO BELEM NOVO LTDA;IRI3736;M. BENZ;OF 1722M                                          ;2010-11-23;2010;DIESEL
2022-01-03 02:00:45.997728;2299;VIACAO BELEM NOVO LTDA;IXC0753;M. BENZ;O500MA                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;839;COMPANHIA CARRIS PORTO ALEGRENSE;IWH9650;VOLVO                                             ;B290R                                             ;2015-02-05;2014;DIESEL
2022-01-03 02:00:45.997728;870;COMPANHIA CARRIS PORTO ALEGRENSE;IWH9818;VOLVO                                             ;B290R                                             ;2015-02-06;2014;DIESEL
2022-01-03 02:00:45.997728;4488;VIACAO ALTO PETROPOLIS LTDA;IRN0363;M. BENZ;OF 1722M                                          ;2011-01-11;2010;DIESEL
2022-01-03 02:00:45.997728;4410;VIACAO ALTO PETROPOLIS LTDA;IQD4535;M. BENZ;O-500M                                            ;2009-09-23;2009;DIESEL
2022-01-03 02:00:45.997728;4502;VIACAO ALTO PETROPOLIS LTDA;IXC1490;M. BENZ;O-500M                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;6433;NORTRAN TRANSPORTES COLETIVOS LTDA;ITH0280;M. BENZ;OF 1722                                           ;2012-07-09;2011;DIESEL
2022-01-03 02:00:45.997728;6538;NORTRAN TRANSPORTES COLETIVOS LTDA;ISR1547;M. BENZ;O-500M                                            ;2012-01-04;2011;DIESEL
2022-01-03 02:00:45.997728;6530;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2643;M. BENZ;O-500M                                            ;2009-08-14;2009;DIESEL
2022-01-03 02:00:45.997728;2336;VIACAO BELEM NOVO LTDA;IQG2111;M. BENZ;OF 1722M                                          ;2009-11-05;2009;DIESEL
